"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DAN","Dana Holding Corporation","16.43","2429546456.54","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dan",
"DHR","Danaher Corporation","60.77","42076254559.46","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dhr",
"DAIO","Data I/O Corporation","1.47","11396702.73","n/a","1981","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/daio",
"DE","Deere & Company","86.48","33688818965.28","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/de",
"DLPH","Delphi Automotive plc","42.49","13402939757.41","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dlph",
"DPW","Digital Power Corporation","0.7","4797212.7","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"DCI","Donaldson Company, Inc.","35.17","5161991779.28","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/dci",
"DORM","Dorman Products, Inc.","36.01","1313613399.28","n/a","1981","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dorm",
"PLOW","Douglas Dynamics, Inc.","13.48","299593674","n/a","2010","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/plow",
"DW","Drew Industries Incorporated","35.9","818728435.4","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/dw",
"DCO","Ducommun Incorporated","20.4","216314460","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/dco",
"DXPE","DXP Enterprises, Inc.","73.05","1032765705.6","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dxpe",
"BOOM","Dynamic Materials Corporation","16.22","221943239.54","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/boom",
"DYSL","Dynasil Corporation of America","0.8","11968160","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dysl",
"EXP","Eagle Materials Inc","67.43","3328284382.72","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/exp",
"EML","Eastern Company (The)","16.21","100822131.29","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/eml",
"EDAC","Edac Technologies Corporation","17.73","94278211.2","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/edac",
"EVAC","Edwards Group Limited","8","101972408","12746551","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/evac",
"ESLT","Elbit Systems Ltd.","41.04","1720068028.56","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/eslt",
"ESYS","Elecsys Corporation","5.88","22914336.48","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esys",
"ELSE","Electro-Sensors, Inc.","4.4","14932438.4","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/else",
"ERJ","Embraer-Empresa Brasileira de Aeronautica","34.99","6477217972.39","n/a","2000","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/erj",
"EME","EMCOR Group, Inc.","39.59","2651865323.49","n/a","1994","Capital Goods","Engineering & Construction","http://www.nasdaq.com/symbol/eme",
"WIRE","Encore Wire Corporation","33.58","693981137.16","n/a","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/wire",
"EAC           ","Erickson Air-Crane Incorporated","17.9","174109451.5","n/a","2001","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/eac           ",
"ESP","Espey Mfg. & Electronics Corp.","25.71","60278200.53","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esp",
"ESL","Esterline Technologies Corporation","74.38","2304971563.78","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esl",
"EXFO","EXFO Inc","4.33","124757748.29","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/exfo",
"FARO","FARO Technologies, Inc.","39.89","677353900.16","n/a","1997","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/faro",
"FSS","Federal Signal Corporation","7.5","467988975","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/fss",
"FDML","Federal-Mogul Corporation","5.75","568700875","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/fdml",
"FEIC","FEI Company","63.29","2440752394.78","n/a","1995","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/feic",
"FLIR","FLIR Systems, Inc.","25.64","3708706440.68","n/a","1993","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/flir",
"FLOW","Flow International Corporation","3.53","170934277.24","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/flow",
"FLS","Flowserve Corporation","161.49","7771381816.59","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/fls",
"FLDM","Fluidigm Corporation","18.7","472630363.7","n/a","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/fldm",
"F","Ford Motor Company","12.78","49310468937","n/a","n/a","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/f",
"RAIL","Freightcar America, Inc.","21","252521283","n/a","1992","Capital Goods","Railroads","http://www.nasdaq.com/symbol/rail",
"FEIM","Frequency Electronics, Inc.","9.5","80142066.5","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/feim",
"FRD","Friedman Industries Inc.","9.94","67586473.36","n/a","1972","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/frd",
"FSYS","Fuel Systems Solutions, Inc.","15.67","314244424.96","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/fsys",
"FTEK","Fuel Tech, Inc.","4.12","91062501.88","n/a","n/a","Capital Goods","Pollution Control Equipment","http://www.nasdaq.com/symbol/ftek",
"FFHL","Fuwei Films (Holdings) Co., Ltd.","1.27","16589375","n/a","2006","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/ffhl",
"GRMN","Garmin Ltd.","33.76","6603180991.04","n/a","2000","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/grmn",
"GENC","Gencor Industries Inc.","7.05","67100983.5","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/genc",
"GD","General Dynamics Corporation","69.08","24455669961.36","n/a","n/a","Capital Goods","Marine Transportation","http://www.nasdaq.com/symbol/gd",
"GM","General Motors Company","27.59","37719466430.84","n/a","2010","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/gm",
"GSI","General Steel Holdings, Inc.","1","54797532","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/gsi",
"GNTX","Gentex Corporation","19.37","2772781234.47","n/a","1981","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/gntx",
"THRM","Gentherm Inc","15.195","504572676.33","n/a","2006","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/thrm",
"GPC","Genuine Parts Company","77.88","12061120852.44","n/a","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/gpc",
"GEOS","Geospace Technologies Corporation","93.02","1196071252.32","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/geos",
"GGB","Gerdau S.A.","7.43","12634449674.7","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/ggb",
"ROCK","Gibraltar Industries, Inc.","18.27","560288812.23","n/a","1993","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/rock",
"GIGA","Giga-tronics Incorporated","1.63","8198487.61","n/a","1983","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/giga",
"GLPW","Global Power Equipment Group Inc","16.73","281584788.17","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/glpw",
"GSM","Globe Specialty Metals Inc.","13.51","1017323926.99","n/a","2009","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gsm",
"GRC","Gorman-Rupp Company (The)","28.37","595681854.41","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc",
"GGG","Graco Inc.","56.51","3443713975.04","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/ggg",
"GBX","Greenbrier Companies, Inc. (The)","20.92","569480390.72","n/a","1994","Capital Goods","Railroads","http://www.nasdaq.com/symbol/gbx",
"GFF","Griffon Corporation","11.22","686824973.34","n/a","n/a","Capital Goods","Building Products","http://www.nasdaq.com/symbol/gff",
"GSE","GSE Holding, Inc.","7.92","159251922.72","n/a","n/a","Capital Goods","Specialty Chemicals","http://www.nasdaq.com/symbol/gse",
"GIFI","Gulf Island Fabrication, Inc.","19.88","287395657.36","n/a","1997","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/gifi",
"HNH","Handy & Harman Ltd.","15.18","199465260.72","n/a","n/a","Capital Goods","Industrial Specialties","http://www.nasdaq.com/symbol/hnh",
"HDNG","Hardinge, Inc.","13.8","162267893.4","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hdng",
"HRS","Harris Corporation","44.74","5048900812.58","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hrs",
"HSC","Harsco Corporation","23.67","1908957143.34","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hsc",
"HBIO","Harvard Bioscience, Inc.","5.64","169252638.12","n/a","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/hbio",
"HAYN","Haynes International, Inc.","53.77","663144979.84","n/a","2007","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/hayn",
"HW","Headwaters Incorporated","10.33","752651692.12","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/hw",
"HEI","Heico Corporation","43.29","926561281.23","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/hei",
"HEI/A","Heico Corporation","33.69","0","n/a","n/a","Capital Goods","Aerospace","http://www.nasdaq.com/symbol/hei/a",
"HIHO","Highway Holdings Limited","1.67","6319069.58","n/a","n/a","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/hiho",
"HMC","Honda Motor Company, Ltd.","39.19","70632078842.04","n/a","1976","Capital Goods","Auto Manufacturing","http://www.nasdaq.com/symbol/hmc",
"HON","Honeywell International Inc.","73.55","57554341734.1","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/hon",
"ZINC","Horsehead Holding Corp.","10.19","449239050.54","n/a","2007","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/zinc",
"HOV","Hovnanian Enterprises Inc","5.67","788908570.38","n/a","1983","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/hov",
"HOVNP","Hovnanian Enterprises Inc","14.95","74750000","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/hovnp",
"HOVU","Hovnanian Enterprises Inc","28.83","0","n/a","n/a","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/hovu",
"HUB/A","Hubbell Inc A","84.25","0","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/hub/a",
"HUB/B","Hubbell Inc A","94.44","0","n/a","n/a","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/hub/b",
"HII","Huntington Ingalls Industries, Inc.","51.3","2545588695.6","n/a","1985","Capital Goods","Marine Transportation","http://www.nasdaq.com/symbol/hii",
"HURC","Hurco Companies, Inc.","25.75","166015657.5","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/hurc",
"HTCH","Hutchinson Technology Incorporated","2.78","69842373.68","n/a","1985","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/htch",
"HY","Hyster-Yale Materials Handling, Inc.","53.12","662814255.36","n/a","n/a","Capital Goods","Construction/Ag Equipment/Trucks","http://www.nasdaq.com/symbol/hy",
"IEP","Icahn Enterprises L.P.","61.3","6621958062.1","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/iep",
"IEX","IDEX Corporation","52.02","4292880689.16","n/a","1989","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/iex",
"IIVI","II-VI Incorporated","16.99","1056766514.76","n/a","1987","Capital Goods","Electronic Components","http://www.nasdaq.com/symbol/iivi",
"ILMN","Illumina, Inc.","55.23","6850770843.42","n/a","2000","Capital Goods","Biotechnology: Laboratory Analytical Instruments","http://www.nasdaq.com/symbol/ilmn",
"ISNS","Image Sensing Systems, Inc.","4.62","22945779.78","n/a","1995","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/isns",
"IR","Ingersoll-Rand plc (Ireland)","54.9","16267824491.4","n/a","n/a","Capital Goods","Auto Parts:O.E.M.","http://www.nasdaq.com/symbol/ir",
