"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"DHIL","Diamond Hill Investment Group, Inc.","75.15","242833547.7","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/dhil",
"DCOM","Dime Community Bancshares, Inc.","14.34","514403605.26","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/dcom",
"DFS","Discover Financial Services","43.71","21653764711.17","n/a","1993","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dfs",
"DNBF","DNB Financial Corp","17.2","46477926","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/dnbf",
"DGICA","Donegal Group, Inc.","14.99","384155085.76","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgica",
"DGICB","Donegal Group, Inc.","21.95","562790844.3","n/a","1986","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/dgicb",
"DRL","Doral Financial Corporation","0.7296","93724724.6208","n/a","1980","Finance","Commercial Banks","http://www.nasdaq.com/symbol/drl",
"DUF","Duff & Phelps Corporation","15.52","654285734.72","n/a","1992","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/duf",
"DNB","Dun & Bradstreet Corporation (The)","83.44","3352115055.52","n/a","n/a","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/dnb",
"DFT","Dupont Fabros Technology, Inc.","25.77","1698725130.93","n/a","2007","Finance","Real Estate","http://www.nasdaq.com/symbol/dft",
"ETFC","E*TRADE Financial Corporation","10.13","2904689044.84","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/etfc",
"EBMT","Eagle Bancorp Montana, Inc.","10.7501","41911253.6185","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ebmt",
"EGBN","Eagle Bancorp, Inc.","21.06","492524828.64","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/egbn",
"EWBC","East West Bancorp, Inc.","25.405","3559901157.025","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/ewbc",
"EIHI","Eastern Insurance Holdings, Inc.","18.08","143023792.64","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/eihi",
"EVBS","Eastern Virginia Bankshares, Inc.","5.6","33989485.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbs",
"EV","Eaton Vance Corporation","39.45","4751707487.55","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ev",
"EHTH","eHealth, Inc.","20.45","427881628.15","n/a","2006","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ehth",
"EJ","E-House (China) Holdings Limited","4.35","513449087.55","n/a","2007","Finance","Real Estate","http://www.nasdaq.com/symbol/ej",
"EFC","Ellington Financial LLC","25.17","513561707.91","n/a","2010","Finance","Real Estate","http://www.nasdaq.com/symbol/efc",
