"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"ERS","Empire Resources, Inc.","5.1","43780450.2","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/ers",
"ICA","Empresas Ica Soc Contrladora","13.06","1974277574.94","n/a","1992","Basic Industries","Military/Government/Technical","http://www.nasdaq.com/symbol/ica",
"EXK","Endeavour Silver Corporation","5.79","577193577.9","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/exk",
"ES","EnergySolutions Inc","4.13","376169498.39","n/a","2007","Basic Industries","Environmental Services","http://www.nasdaq.com/symbol/es",
"NPO","Enpro Industries","48.6","1012622504.4","n/a","n/a","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/npo",
"EGI","Entree Gold Inc","0.3146","46162637.521","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi",
"EMXX","Eurasian Minerals Inc.","1.91","138101671.4","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/emxx",
"XRA","Exeter Resource Corporation","1.11","98132605.83","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/xra",
"FHCO","Female Health Company (The)","7.92","227065734.72","n/a","n/a","Basic Industries","Specialty Chemicals","http://www.nasdaq.com/symbol/fhco",
"FOE","Ferro Corporation","6.77","586008898.2","n/a","n/a","Basic Industries","Paints/Coatings","http://www.nasdaq.com/symbol/foe",
"FBR","Fibria Celulose S.A.","12.29","6807856799.34","n/a","1989","Basic Industries","Paper","http://www.nasdaq.com/symbol/fbr",
"AG","First Majestic Silver Corp.","14.73","1723070326.2","n/a","1992","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/ag",
"FSI","Flexible Solutions International Inc.","1.05","13828490.55","n/a","1998","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fsi",
"FTK","Flotek Industries, Inc.","16.07","760603593.71","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/ftk",
